Time,Open,High,Low,Close,Volume
2019.05.16 10:00:00,1296.5,1296.88,1296.43,1296.73,72
2019.05.16 09:50:00,1296.97,1297.11,1296.45,1296.54,253
2019.05.16 09:40:00,1296.79,1297.2,1296.79,1296.95,164
2019.05.16 09:30:00,1296.81,1297.09,1296.69,1296.8,142
2019.05.16 09:20:00,1296.43,1296.91,1296.39,1296.81,176
2019.05.16 09:10:00,1296.21,1296.45,1296.02,1296.44,139
2019.05.16 09:00:00,1296.51,1296.51,1295.81,1296.21,217
2019.05.16 08:50:00,1296.9,1297.01,1296.48,1296.49,133
2019.05.16 08:40:00,1296.88,1296.99,1296.62,1296.9,193
2019.05.16 08:30:00,1296.78,1297,1296.47,1296.88,138
2019.05.16 08:20:00,1296.77,1296.97,1296.68,1296.78,131
2019.05.16 08:10:00,1296.59,1296.95,1296.56,1296.77,78
2019.05.16 08:00:00,1296.36,1296.67,1296.23,1296.6,163
2019.05.16 07:50:00,1295.96,1296.39,1295.95,1296.35,136
2019.05.16 07:40:00,1296.05,1296.28,1295.89,1295.96,66
2019.05.16 07:30:00,1296.02,1296.09,1295.96,1296.04,88
2019.05.16 07:20:00,1296.23,1296.29,1295.96,1296.02,36
2019.05.16 07:10:00,1296.36,1296.37,1296.16,1296.23,63
2019.05.16 07:00:00,1296.08,1296.36,1296.08,1296.36,70
2019.05.16 06:50:00,1295.98,1296.28,1295.98,1296.08,84
2019.05.16 06:40:00,1296.07,1296.09,1295.93,1295.98,50
2019.05.16 06:30:00,1296.04,1296.09,1295.94,1296.07,75
2019.05.16 06:20:00,1295.76,1296.05,1295.46,1296.05,194
2019.05.16 06:10:00,1295.57,1295.77,1295.56,1295.76,72
2019.05.16 06:00:00,1295.29,1295.67,1295.27,1295.57,76
2019.05.16 05:50:00,1295.46,1295.67,1295.05,1295.29,177
2019.05.16 05:40:00,1295.25,1295.66,1295.14,1295.46,178
2019.05.16 05:30:00,1295.25,1295.35,1295.03,1295.25,52
2019.05.16 05:20:00,1295.44,1295.74,1295.14,1295.25,127
2019.05.16 05:10:00,1295.94,1295.94,1295.31,1295.44,129
2019.05.16 05:00:00,1296.03,1296.13,1295.62,1295.93,137
2019.05.16 04:50:00,1295.73,1296.23,1295.72,1296.03,168
2019.05.16 04:40:00,1296.03,1296.12,1295.52,1295.72,210
2019.05.16 04:30:00,1296.06,1296.22,1295.53,1296.03,408
2019.05.16 04:20:00,1296.62,1296.91,1296.01,1296.05,283
2019.05.16 04:10:00,1296.22,1297.02,1296.05,1296.62,189
2019.05.16 04:00:00,1296.2,1296.31,1295.49,1296.22,267
2019.05.16 03:50:00,1296.38,1296.48,1295.71,1296.2,136
2019.05.16 03:40:00,1296.13,1296.58,1295.93,1296.38,118
2019.05.16 03:30:00,1296.09,1296.38,1295.72,1296.27,106
2019.05.16 03:20:00,1295.94,1296.09,1295.71,1296.09,47
2019.05.16 03:10:00,1296.14,1296.28,1295.73,1295.94,147
2019.05.16 03:00:00,1296.43,1297.25,1295.93,1296.14,233
2019.05.16 02:50:00,1296.53,1296.54,1296.11,1296.43,77
2019.05.16 02:40:00,1296.33,1296.54,1296.3,1296.53,46
2019.05.16 02:30:00,1296.43,1296.55,1296.22,1296.33,74
2019.05.16 02:20:00,1296.42,1296.5,1296.42,1296.43,61
2019.05.16 02:10:00,1296.73,1296.73,1296.23,1296.42,84
2019.05.16 02:00:00,1296.73,1297.03,1296.68,1296.73,87
2019.05.16 01:50:00,1296.83,1296.93,1296.73,1296.74,36
2019.05.16 01:40:00,1296.88,1296.99,1296.78,1296.89,65
2019.05.16 01:30:00,1296.49,1296.88,1296.46,1296.88,24
2019.05.16 01:20:00,1296.56,1296.69,1296.41,1296.49,52
2019.05.16 01:10:00,1296.57,1296.59,1296.37,1296.56,100
2019.05.16 01:00:00,1296.45,1296.57,1296.23,1296.57,37
2019.05.15 23:50:00,1296.15,1296.42,1296.15,1296.35,37
2019.05.15 23:40:00,1296.22,1296.3,1296.11,1296.17,57
2019.05.15 23:30:00,1296.01,1296.31,1296.01,1296.22,66
2019.05.15 23:20:00,1296.1,1296.13,1296,1296,43
2019.05.15 23:10:00,1296.21,1296.21,1296.05,1296.1,56
2019.05.15 23:00:00,1296.27,1296.32,1296.18,1296.21,68
2019.05.15 22:50:00,1296.18,1296.31,1296.07,1296.27,97
2019.05.15 22:40:00,1296.08,1296.21,1295.95,1296.18,95
2019.05.15 22:30:00,1296.01,1296.18,1295.91,1296.09,153
2019.05.15 22:20:00,1295.68,1296.11,1295.63,1295.98,87
2019.05.15 22:10:00,1295.73,1295.89,1295.58,1295.69,179
2019.05.15 22:00:00,1296.08,1296.18,1295.63,1295.68,119
2019.05.15 21:50:00,1295.91,1296.28,1295.7,1296.06,143
2019.05.15 21:40:00,1295.93,1296.13,1295.83,1295.9,150
2019.05.15 21:30:00,1296.32,1296.34,1295.84,1295.93,113
2019.05.15 21:20:00,1296.33,1296.42,1296.11,1296.3,205
2019.05.15 21:10:00,1296.67,1296.74,1296.24,1296.33,179
2019.05.15 21:00:00,1296.84,1296.87,1296.53,1296.67,167
2019.05.15 20:50:00,1296.77,1297.04,1296.61,1296.84,164
2019.05.15 20:40:00,1296.74,1296.85,1296.64,1296.75,195
2019.05.15 20:30:00,1296.93,1296.93,1296.53,1296.74,168
2019.05.15 20:20:00,1297.68,1297.68,1296.68,1296.93,322
2019.05.15 20:10:00,1297.53,1297.83,1297.2,1297.73,216
2019.05.15 20:00:00,1297.84,1298.04,1297.44,1297.53,194
2019.05.15 19:50:00,1297.37,1297.94,1297.34,1297.84,235
2019.05.15 19:40:00,1297.44,1297.5,1297.23,1297.37,220
2019.05.15 19:30:00,1297.34,1297.58,1297.32,1297.44,266
2019.05.15 19:20:00,1297.14,1297.55,1296.94,1297.34,327
2019.05.15 19:10:00,1296.35,1297.14,1296.17,1297.14,261
2019.05.15 19:00:00,1296.16,1296.35,1295.75,1296.35,341
2019.05.15 18:50:00,1296.07,1296.26,1295.76,1296.16,285
2019.05.15 18:40:00,1296.07,1296.47,1295.77,1296.07,336
2019.05.15 18:30:00,1295.37,1296.07,1294.77,1296.07,520
2019.05.15 18:20:00,1295.67,1295.7,1294.66,1295.39,728
2019.05.15 18:10:00,1296.02,1296.48,1295.37,1295.67,535
2019.05.15 18:00:00,1296.39,1296.78,1295.92,1296.01,742
2019.05.15 17:50:00,1296.3,1296.42,1294.81,1296.39,951
2019.05.15 17:40:00,1297.23,1297.23,1295.86,1296.28,714
2019.05.15 17:30:00,1296.55,1297.46,1295.82,1297.24,910
2019.05.15 17:20:00,1298.65,1299.32,1296.45,1296.52,1113
2019.05.15 17:10:00,1299.39,1300.19,1295.89,1298.65,1390
2019.05.15 17:00:00,1298.94,1299.52,1298.38,1299.39,729
2019.05.15 16:50:00,1299.49,1299.8,1298.82,1298.9,749
2019.05.15 16:40:00,1300.18,1300.51,1299.08,1299.49,717
2019.05.15 16:30:00,1299.79,1300.27,1299.21,1300.21,850
2019.05.15 16:20:00,1299.59,1300.5,1299.41,1299.77,443
2019.05.15 16:10:00,1297.9,1299.53,1297.49,1299.53,709
2019.05.15 16:00:00,1299.03,1299.71,1297.21,1297.89,914
2019.05.15 15:50:00,1300.37,1300.77,1299.03,1299.03,505
2019.05.15 15:40:00,1299.89,1300.84,1298.92,1300.29,689
2019.05.15 15:30:00,1298.91,1300.43,1298.82,1299.83,926
2019.05.15 15:20:00,1299.38,1299.65,1297.99,1298.93,507
2019.05.15 15:10:00,1300.39,1300.59,1298.81,1299.3,505
2019.05.15 15:00:00,1299.06,1300.83,1298.87,1300.39,899
2019.05.15 14:50:00,1297.57,1299.07,1297.56,1299.07,320
2019.05.15 14:40:00,1297.29,1297.68,1297.27,1297.57,239
2019.05.15 14:30:00,1297.66,1297.73,1296.98,1297.29,277
2019.05.15 14:20:00,1297.95,1297.99,1297.56,1297.66,215
2019.05.15 14:10:00,1298.28,1298.35,1297.93,1297.95,129
2019.05.15 14:00:00,1298,1298.31,1297.94,1298.28,186
2019.05.15 13:50:00,1297.9,1298.16,1297.8,1298,195
2019.05.15 13:40:00,1298.09,1298.2,1297.78,1297.9,142
2019.05.15 13:30:00,1298.26,1298.29,1297.98,1298.09,175
2019.05.15 13:20:00,1297.65,1298.37,1297.45,1298.26,280
2019.05.15 13:10:00,1297.98,1298.13,1297.65,1297.65,188
2019.05.15 13:00:00,1298.25,1298.36,1297.85,1297.99,240
2019.05.15 12:50:00,1298.4,1298.4,1298.05,1298.25,270
2019.05.15 12:40:00,1298.75,1299.12,1298.34,1298.34,233
2019.05.15 12:30:00,1298.53,1298.95,1298.51,1298.75,314
2019.05.15 12:20:00,1298.04,1298.56,1297.86,1298.53,174
2019.05.15 12:10:00,1298.84,1298.84,1298.02,1298.04,248
2019.05.15 12:00:00,1298.76,1299.02,1298.51,1298.84,304
2019.05.15 11:50:00,1298.4,1298.85,1298.03,1298.76,244
2019.05.15 11:40:00,1297.48,1298.61,1297.38,1298.4,283
2019.05.15 11:30:00,1297.54,1297.56,1296.97,1297.48,142
2019.05.15 11:20:00,1296.77,1297.64,1296.44,1297.53,299
2019.05.15 11:10:00,1296.66,1297.01,1296.57,1296.77,148
2019.05.15 11:00:00,1296.59,1296.76,1296.2,1296.66,264
2019.05.15 10:50:00,1296.41,1296.89,1296.32,1296.56,354
2019.05.15 10:40:00,1295.65,1296.42,1295.6,1296.35,267
2019.05.15 10:30:00,1294.93,1295.72,1294.7,1295.64,241
2019.05.15 10:20:00,1294.65,1294.94,1294.45,1294.93,183
2019.05.15 10:10:00,1294.45,1294.93,1294.14,1294.63,271
2019.05.15 10:00:00,1293.57,1294.55,1293.24,1294.46,360
2019.05.15 09:50:00,1293.22,1293.62,1292.98,1293.53,279
2019.05.15 09:40:00,1293.96,1294.1,1293.03,1293.22,369
2019.05.15 09:30:00,1294.66,1294.87,1293.86,1293.96,350
2019.05.15 09:20:00,1294.21,1294.75,1293.67,1294.66,351
2019.05.15 09:10:00,1295.26,1295.55,1294.11,1294.21,311
2019.05.15 09:00:00,1295.45,1295.45,1294.83,1295.26,230
2019.05.15 08:50:00,1295.57,1295.63,1295.15,1295.45,209
2019.05.15 08:40:00,1295.06,1295.79,1294.91,1295.59,325
2019.05.15 08:30:00,1294.92,1295.14,1294.39,1295.06,252
2019.05.15 08:20:00,1294.85,1295.32,1294.84,1294.92,106
2019.05.15 08:10:00,1294.95,1294.97,1294.67,1294.85,97
2019.05.15 08:00:00,1294.95,1295.02,1294.83,1294.95,131
2019.05.15 07:50:00,1294.97,1295.01,1294.69,1294.99,175
2019.05.15 07:40:00,1295.31,1295.37,1294.91,1294.97,107
2019.05.15 07:30:00,1295.51,1295.53,1295.12,1295.31,113
2019.05.15 07:20:00,1295.23,1295.48,1295.22,1295.48,81
2019.05.15 07:10:00,1295.45,1295.52,1295.23,1295.23,150
2019.05.15 07:00:00,1295.64,1295.73,1295.35,1295.44,80
2019.05.15 06:50:00,1295.62,1295.72,1295.53,1295.64,78
2019.05.15 06:40:00,1295.41,1295.64,1295.41,1295.62,84
2019.05.15 06:30:00,1295.52,1295.52,1295.33,1295.41,142
2019.05.15 06:20:00,1295.43,1295.84,1295.24,1295.52,131
2019.05.15 06:10:00,1295.74,1295.74,1295.24,1295.44,312
2019.05.15 06:00:00,1296.1,1296.11,1295.7,1295.75,207
2019.05.15 05:50:00,1295.83,1296.12,1295.71,1296.04,151
2019.05.15 05:40:00,1295.8,1296.21,1295.74,1295.83,285
2019.05.15 05:30:00,1296.08,1296.11,1295.71,1295.8,248
2019.05.15 05:20:00,1296.2,1296.3,1295.8,1296.08,147
2019.05.15 05:10:00,1296.21,1296.3,1295.81,1296.2,257
2019.05.15 05:00:00,1296.87,1296.93,1296.21,1296.21,530
2019.05.15 04:50:00,1296.92,1297.3,1296.72,1296.82,260
2019.05.15 04:40:00,1297.51,1297.51,1296.91,1296.91,155
2019.05.15 04:30:00,1296.96,1297.71,1296.82,1297.51,253
2019.05.15 04:20:00,1298.02,1298.02,1296.94,1296.95,190
2019.05.15 04:10:00,1297.52,1298.12,1297.12,1298.02,302
2019.05.15 04:00:00,1297.32,1297.55,1296.71,1297.52,250
2019.05.15 03:50:00,1297.61,1297.71,1297.31,1297.32,98
2019.05.15 03:40:00,1297.71,1298.01,1297.52,1297.62,128
2019.05.15 03:30:00,1297.71,1297.81,1297.21,1297.71,147
2019.05.15 03:20:00,1297.8,1297.91,1297.63,1297.71,126
2019.05.15 03:10:00,1297.39,1297.9,1297.39,1297.8,207
2019.05.15 03:00:00,1296.99,1297.5,1296.9,1297.39,203
2019.05.15 02:50:00,1297.01,1297.33,1296.99,1296.99,77
2019.05.15 02:40:00,1296.89,1297.2,1296.89,1297,83
2019.05.15 02:30:00,1296.63,1297.06,1296.61,1296.89,110
2019.05.15 02:20:00,1296.88,1296.89,1296.58,1296.63,90
2019.05.15 02:10:00,1296.88,1296.9,1296.68,1296.88,54
2019.05.15 02:00:00,1296.78,1296.91,1296.47,1296.88,74
2019.05.15 01:50:00,1296.68,1296.79,1296.57,1296.78,32
2019.05.15 01:40:00,1296.78,1296.78,1296.57,1296.68,35
2019.05.15 01:30:00,1296.89,1296.89,1296.77,1296.78,26
2019.05.15 01:20:00,1296.98,1297,1296.87,1296.88,47
2019.05.15 01:10:00,1297.01,1297.08,1296.9,1296.98,61
2019.05.15 01:00:00,1297.04,1297.06,1296.75,1296.98,53
2019.05.14 23:50:00,1296.78,1296.82,1296.68,1296.76,254
2019.05.14 23:40:00,1296.74,1296.85,1296.59,1296.73,96
2019.05.14 23:30:00,1296.93,1297.06,1296.68,1296.74,63
2019.05.14 23:20:00,1297.06,1297.07,1296.88,1296.88,51
2019.05.14 23:10:00,1297.14,1297.17,1297.02,1297.02,74
2019.05.14 23:00:00,1296.94,1297.34,1296.86,1297.15,94
2019.05.14 22:50:00,1296.67,1297.07,1296.67,1296.94,192
2019.05.14 22:40:00,1296.44,1296.77,1296.34,1296.67,117
2019.05.14 22:30:00,1296.06,1296.53,1296.01,1296.44,140
2019.05.14 22:20:00,1295.78,1296.11,1295.77,1296.07,91
2019.05.14 22:10:00,1295.6,1295.98,1295.6,1295.78,111
2019.05.14 22:00:00,1295.79,1295.92,1295.6,1295.61,113
2019.05.14 21:50:00,1295.82,1295.91,1295.7,1295.78,147
2019.05.14 21:40:00,1295.79,1295.99,1295.7,1295.81,144
2019.05.14 21:30:00,1295.83,1296,1295.73,1295.79,90
2019.05.14 21:20:00,1295.5,1295.85,1295.4,1295.83,180
2019.05.14 21:10:00,1295.4,1295.84,1295.4,1295.5,147
2019.05.14 21:00:00,1294.89,1295.64,1294.84,1295.4,244
2019.05.14 20:50:00,1295.21,1295.23,1294.84,1294.9,156
2019.05.14 20:40:00,1294.93,1295.26,1294.92,1295.21,139
2019.05.14 20:30:00,1295.45,1295.45,1294.82,1294.92,221
2019.05.14 20:20:00,1296.05,1296.15,1295.43,1295.43,244
2019.05.14 20:10:00,1296.14,1296.24,1295.74,1296.05,151
2019.05.14 20:00:00,1295.74,1296.14,1295.6,1296.14,229
2019.05.14 19:50:00,1295.86,1296.05,1295.55,1295.74,147
2019.05.14 19:40:00,1295.56,1295.86,1295.51,1295.85,220
2019.05.14 19:30:00,1295.27,1295.75,1295.17,1295.56,172
2019.05.14 19:20:00,1295.09,1295.46,1294.65,1295.27,169
2019.05.14 19:10:00,1294.47,1295.19,1294.27,1295.09,167
2019.05.14 19:00:00,1294.29,1294.59,1294.17,1294.47,204
2019.05.14 18:50:00,1294.31,1294.49,1293.9,1294.29,293
2019.05.14 18:40:00,1294.17,1294.94,1293.7,1294.31,499
2019.05.14 18:30:00,1295.46,1295.46,1293.65,1294.21,579
2019.05.14 18:20:00,1296.24,1296.33,1295.16,1295.46,493
2019.05.14 18:10:00,1296.92,1296.99,1296.23,1296.24,165
2019.05.14 18:00:00,1295.84,1296.94,1295.74,1296.92,418
2019.05.14 17:50:00,1296.25,1296.64,1295.63,1295.84,517
2019.05.14 17:40:00,1296.4,1296.57,1296.11,1296.24,441
2019.05.14 17:30:00,1296.49,1296.83,1295.74,1296.4,523
2019.05.14 17:20:00,1295.92,1297.37,1295.8,1296.49,592
2019.05.14 17:10:00,1297.6,1297.91,1295.56,1295.93,644
